NPN;token_frequency;preposition;reduplicated_noun;number_of_noun;syntactic_function;meaning;
fabbriche su fabbriche;1;su;fabbrica;pl;nominal;greater_plurality/accumulation;
facce su facce;1;su;faccia;pl;nominal;greater_plurality/accumulation;
faccia a faccia;462;a;faccia;sg;modifier;juxtaposition/contact;
faccia a faccia;455;a;faccia;sg;nominal;idiosyncratic;
faccia per faccia;1;per;faccia;sg;modifier;succession/iteration/distributivity;
facoltà per facoltà;2;per;facoltà;sg;modifier;succession/iteration/distributivity;
falange per falange;1;per;falange;sg;modifier;succession/iteration/distributivity;
falange su falange;1;su;falange;sg;modifier;succession/iteration/distributivity;
fame per fame;1;per;fame;sg;clause;inescapable_presupposition;
famiglia per famiglia;4;per;famiglia;sg;modifier;succession/iteration/distributivity;
fascia per fascia;1;per;fascia;sg;modifier;succession/iteration/distributivity;
fascicoli su fascicoli;1;su;fascicolo;pl;nominal;greater_plurality/accumulation;
fase dopo fase;1;dopo;fase;sg;modifier;succession/iteration/distributivity;
fase per fase;3;per;fase;sg;modifier;succession/iteration/distributivity;
favore per favore;1;per;favore;sg;modifier;succession/iteration/distributivity;
febbraio su febbraio;1;su;febbraio;sg;modifier;connection/transition;
femmina dopo femmina;1;dopo;femmina;sg;modifier;succession/iteration/distributivity;
ferita per ferita;1;per;ferita;sg;modifier;succession/iteration/distributivity;
ferita su ferita;1;su;ferita;sg;modifier;succession/iteration/distributivity;
ferro contro ferro;1;contro;ferro;sg;modifier;juxtaposition/contact;
feste su feste;1;su;festa;pl;nominal;greater_plurality/accumulation;
fetta per fetta;1;per;fetta;sg;modifier;succession/iteration/distributivity;
fianco a fianco;355;a;fianco;sg;modifier;juxtaposition/contact;
fianco a fianco;1;a;fianco;sg;nominal;idiosyncratic;
fianco contro fianco;4;contro;fianco;sg;modifier;juxtaposition/contact;
fiato a fiato;1;a;fiato;sg;modifier;juxtaposition/contact;
fibra a fibra;2;a;fibra;sg;modifier;succession/iteration/distributivity;
fibra per fibra;1;per;fibra;sg;modifier;succession/iteration/distributivity;
fiera dopo fiera;1;dopo;fiera;sg;modifier;succession/iteration/distributivity;
figura per figura;1;per;figura;sg;modifier;succession/iteration/distributivity;
file su file;3;su;file;pl;nominal;greater_plurality/accumulation;
fili su fili;1;su;filo;pl;nominal;greater_plurality/accumulation;
film dopo film;5;dopo;film;sg;modifier;succession/iteration/distributivity;
filo dopo filo;1;dopo;filo;sg;modifier;succession/iteration/distributivity;
filo per filo;2;per;filo;sg;modifier;succession/iteration/distributivity;
finanza su finanza;1;su;finanza;sg;modifier;connection/transition;
finzione per finzione;1;per;finzione;sg;modifier;succession/iteration/distributivity;
fiocchi su fiocchi;1;su;fiocco;pl;nominal;greater_plurality/accumulation;
fiocco a fiocco;1;a;fiocco;sg;modifier;succession/iteration/distributivity;
fogli su fogli;8;su;foglio;pl;nominal;greater_plurality/accumulation;
foglia a foglia;2;a;foglia;sg;modifier;succession/iteration/distributivity;
foglia dopo foglia;2;dopo;foglia;sg;modifier;succession/iteration/distributivity;
foglia per foglia;2;per;foglia;sg;modifier;succession/iteration/distributivity;
foglio dopo foglio;1;dopo;foglio;sg;modifier;succession/iteration/distributivity;
foglio per foglio;4;per;foglio;sg;modifier;succession/iteration/distributivity;
foglio sopra foglio;1;sopra;foglio;sg;modifier;succession/iteration/distributivity;
folata dopo folata;1;dopo;folata;sg;modifier;succession/iteration/distributivity;
follia contro follia;1;contro;follia;sg;modifier;unclear;
fondo dopo fondo;1;dopo;fondo;sg;modifier;succession/iteration/distributivity;
fondo per fondo;2;per;fondo;sg;modifier;succession/iteration/distributivity;
forchettata su forchettata;1;su;forchettata;sg;modifier;succession/iteration/distributivity;
formella per formella;1;per;formella;sg;modifier;succession/iteration/distributivity;
formule su formule;1;su;formula;pl;nominal;greater_plurality/accumulation;
fortezza dopo fortezza;1;dopo;fortezza;sg;modifier;succession/iteration/distributivity;
foto dopo foto;2;dopo;foto;sg;modifier;succession/iteration/distributivity;
foto per foto;2;per;foto;sg;modifier;succession/iteration/distributivity;
foto su foto;3;su;foto;sg/pl;nominal;greater_plurality/accumulation;
fotocopia dopo fotocopia;1;dopo;fotocopia;sg;modifier;succession/iteration/distributivity;
fotogramma dopo fotogramma;3;dopo;fotogramma;sg;modifier;succession/iteration/distributivity;
fotogramma per fotogramma;18;per;fotogramma;sg;modifier;succession/iteration/distributivity;
frammento dopo frammento;5;dopo;frammento;sg;modifier;succession/iteration/distributivity;
frammento per frammento;1;per;frammento;sg;modifier;succession/iteration/distributivity;
frase dietro frase;1;dietro;frase;sg;modifier;succession/iteration/distributivity;
frase dopo frase;10;dopo;frase;sg;modifier;succession/iteration/distributivity;
frase per frase;6;per;frase;sg;modifier;succession/iteration/distributivity;
frase su frase;2;su;frase;sg;modifier;succession/iteration/distributivity;
frattura per frattura;2;per;frattura;sg;modifier;succession/iteration/distributivity;
frazione per frazione;3;per;frazione;sg;modifier;succession/iteration/distributivity;
frenesia dopo frenesia;1;dopo;frenesia;sg;modifier;succession/iteration/distributivity;
fronte a fronte;6;a;fronte;sg;modifier;juxtaposition/contact;
fronte a fronte;2;a;fronte;sg;nominal;idiosyncratic;
fronte contro fronte;5;contro;fronte;sg;modifier;juxtaposition/contact;
furbizie su furbizie;1;su;furbizia;pl;nominal;greater_plurality/accumulation;
fuso dopo fuso;1;dopo;fuso;sg;modifier;succession/iteration/distributivity;
gabbia dopo gabbia;1;dopo;gabbia;sg;modifier;succession/iteration/distributivity;
gabbia per gabbia;1;per;gabbia;sg;modifier;succession/iteration/distributivity;
gaffes su gaffes;1;su;gaffe;pl;nominal;greater_plurality/accumulation;
galleria dopo galleria;3;dopo;galleria;sg;modifier;succession/iteration/distributivity;
gamba contro gamba;2;contro;gamba;sg;modifier;juxtaposition/contact;
game per game;1;per;game;sg;modifier;succession/iteration/distributivity;
gara dopo gara;6;dopo;gara;sg;modifier;succession/iteration/distributivity;
gara per gara;2;per;gara;sg;modifier;succession/iteration/distributivity;
gene dopo gene;2;dopo;gene;sg;modifier;succession/iteration/distributivity;
gene per gene;1;per;gene;sg;modifier;succession/iteration/distributivity;
generazione dopo generazione;28;dopo;generazione;sg;modifier;succession/iteration/distributivity;
generazione sopra generazione;1;sopra;generazione;sg;modifier;succession/iteration/distributivity;
generazione su generazione;1;su;generazione;sg;modifier;succession/iteration/distributivity;
generazioni su generazioni;3;su;generazione;pl;nominal;greater_plurality/accumulation;
genere per genere;2;per;genere;sg;modifier;succession/iteration/distributivity;
gennaio su gennaio;1;su;gennaio;sg;modifier;connection/transition;
gesto dopo gesto;4;dopo;gesto;sg;modifier;succession/iteration/distributivity;
gesto per gesto;2;per;gesto;sg;modifier;succession/iteration/distributivity;
gettone dopo gettone;1;dopo;gettone;sg;modifier;succession/iteration/distributivity;
giacca contro giacca;1;contro;giacca;sg;modifier;juxtaposition/contact;
ginocchio contro ginocchio;3;contro;ginocchio;sg;modifier;juxtaposition/contact;
giocata dopo giocata;1;dopo;giocata;sg;modifier;succession/iteration/distributivity;
gioco per gioco;1;per;gioco;sg;modifier;succession/iteration/distributivity;
giornali su giornali;1;su;giornale;pl;nominal;greater_plurality/accumulation;
giornata dopo giornata;1;dopo;giornata;sg;modifier;succession/iteration/distributivity;
giornata per giornata;2;per;giornata;sg;modifier;succession/iteration/distributivity;
giorni su giorni;2;su;giorno;pl;nominal;greater_plurality/accumulation;
giorno dietro giorno;3;dietro;giorno;sg;modifier;succession/iteration/distributivity;
giorno dopo giorno;744;dopo;giorno;sg;modifier;succession/iteration/distributivity;
giorno per giorno;487;per;giorno;sg;modifier;succession/iteration/distributivity;
giorno su giorno;1;su;giorno;sg;modifier;succession/iteration/distributivity;
giravolta dopo giravolta;1;dopo;giravolta;sg;modifier;succession/iteration/distributivity;
giri su giri;3;su;giro;pl;nominal;greater_plurality/accumulation;
giro dopo giro;15;dopo;giro;sg;modifier;succession/iteration/distributivity;
giro per giro;2;per;giro;sg;modifier;succession/iteration/distributivity;
giro su giro;1;su;giro;sg;modifier;succession/iteration/distributivity;
giunzioni su giunzioni;1;su;giunzione;pl;nominal;greater_plurality/accumulation;
glifo dopo glifo;1;dopo;glifo;sg;modifier;succession/iteration/distributivity;
goccia a goccia;40;a;goccia;sg;modifier;succession/iteration/distributivity;
goccia dopo goccia;5;dopo;goccia;sg;modifier;succession/iteration/distributivity;
gol dopo gol;2;dopo;gol;sg;modifier;succession/iteration/distributivity;
gomitata dopo gomitata;1;dopo;gomitata;sg;modifier;succession/iteration/distributivity;
gomito a gomito;67;a;gomito;sg;modifier;juxtaposition/contact;
gomito a gomito;2;a;gomito;sg;nominal;idiosyncratic;
gomito contro gomito;1;contro;gomito;sg;modifier;juxtaposition/contact;
governo per governo;1;per;governo;sg;modifier;succession/iteration/distributivity;
gradino a gradino;1;a;gradino;sg;modifier;succession/iteration/distributivity;
gradino dopo gradino;8;dopo;gradino;sg;modifier;succession/iteration/distributivity;
gradino per gradino;5;per;gradino;sg;modifier;succession/iteration/distributivity;
grado a grado;6;a;grado;sg;modifier;succession/iteration/distributivity;
grado per grado;1;per;grado;sg;modifier;succession/iteration/distributivity;
grammo dopo grammo;1;dopo;grammo;sg;modifier;succession/iteration/distributivity;
grammo per grammo;1;per;grammo;sg;modifier;succession/iteration/distributivity;
granelli su granelli;1;su;granello;pl;nominal;greater_plurality/accumulation;
granellino per granellino;1;per;granellino;sg;modifier;succession/iteration/distributivity;
granellino su granellino;1;su;granellino;sg;modifier;succession/iteration/distributivity;
granello dopo granello;1;dopo;granello;sg;modifier;succession/iteration/distributivity;
granello per granello;3;per;granello;sg;modifier;succession/iteration/distributivity;
grano dopo grano;2;dopo;grano;sg;modifier;succession/iteration/distributivity;
grappolo per grappolo;1;per;grappolo;sg;modifier;succession/iteration/distributivity;
grazia su grazia;3;su;grazia;sg;nominal;greater_plurality/accumulation;
grigio su grigio;1;su;grigio;sg;modifier;juxtaposition/contact;
gruppo per gruppo;2;per;gruppo;sg;modifier;succession/iteration/distributivity;
guancia a guancia;20;a;guancia;sg;modifier;juxtaposition/contact;
guancia a guancia;2;a;guancia;sg;nominal;idiosyncratic;
guerra dopo guerra;1;dopo;guerra;sg;modifier;succession/iteration/distributivity;
hinterland su hinterland;1;su;hinterland;sg;modifier;connection/transition;
idea dopo idea;1;dopo;idea;sg;modifier;succession/iteration/distributivity;
illusione per illusione;1;per;illusione;sg;modifier;succession/iteration/distributivity;
imbarazzo dopo imbarazzo;1;dopo;imbarazzo;sg;modifier;succession/iteration/distributivity;
immagine dopo immagine;1;dopo;immagine;sg;modifier;succession/iteration/distributivity;
immagine per immagine;3;per;immagine;sg;modifier;succession/iteration/distributivity;
imprecazioni su imprecazioni;1;su;imprecazione;pl;nominal;greater_plurality/accumulation;
impresa per impresa;1;per;impresa;sg;modifier;succession/iteration/distributivity;
incarichi su incarichi;1;su;incarico;pl;nominal;greater_plurality/accumulation;
incarico dopo incarico;1;dopo;incarico;sg;modifier;succession/iteration/distributivity;
incarnazione dopo incarnazione;1;dopo;incarnazione;sg;modifier;succession/iteration/distributivity;
incontro dopo incontro;3;dopo;incontro;sg;modifier;succession/iteration/distributivity;
incrocio dopo incrocio;2;dopo;incrocio;sg;modifier;succession/iteration/distributivity;
incrocio per incrocio;1;per;incrocio;sg;modifier;succession/iteration/distributivity;
indirizzo per indirizzo;1;per;indirizzo;sg;modifier;succession/iteration/distributivity;
individuo per individuo;2;per;individuo;sg;modifier;succession/iteration/distributivity;
indizi su indizi;1;su;indizio;pl;nominal;greater_plurality/accumulation;
indizio dopo indizio;1;dopo;indizio;sg;modifier;succession/iteration/distributivity;
industria per industria;1;per;industria;sg;modifier;succession/iteration/distributivity;
informazione per informazione;1;per;informazione;sg;modifier;succession/iteration/distributivity;
informazioni su informazioni;1;su;informazione;pl;nominal;greater_plurality/accumulation;
inganno per inganno;1;per;inganno;sg;modifier;succession/iteration/distributivity;
inizio per inizio;1;per;inizio;sg;modifier;succession/iteration/distributivity;
inquadratura dopo inquadratura;2;dopo;inquadratura;sg;modifier;succession/iteration/distributivity;
inquadratura per inquadratura;4;per;inquadratura;sg;modifier;succession/iteration/distributivity;
inquilino per inquilino;2;per;inquilino;sg;modifier;succession/iteration/distributivity;
insulto dopo insulto;1;dopo;insulto;sg;modifier;succession/iteration/distributivity;
insulto per insulto;1;per;insulto;sg;modifier;succession/iteration/distributivity;
integrazioni su integrazioni;1;su;integrazione;pl;nominal;greater_plurality/accumulation;
interessi su interessi;1;su;interesse;pl;nominal;greater_plurality/accumulation;
interrogativi su interrogativi;1;su;interrogativo;pl;nominal;greater_plurality/accumulation;
interrogatorio dopo interrogatorio;1;dopo;interrogatorio;sg;modifier;succession/iteration/distributivity;
intervento dopo intervento;1;dopo;intervento;sg;modifier;succession/iteration/distributivity;
intervista su intervista;1;su;intervista;sg;modifier;succession/iteration/distributivity;
interviste su interviste;2;su;intervista;pl;nominal;greater_plurality/accumulation;
invenzioni su invenzioni;1;su;invenzione;pl;nominal;greater_plurality/accumulation;
inverno dopo inverno;5;dopo;inverno;sg;modifier;succession/iteration/distributivity;
inverno su inverno;1;su;inverno;sg;modifier;connection/transition;
ipotesi su ipotesi;1;su;ipotesi;pl;nominal;greater_plurality/accumulation;
ironia per ironia;1;per;ironia;sg;modifier;succession/iteration/distributivity;
isola per isola;1;per;isola;sg;modifier;succession/iteration/distributivity;
istante dietro istante;1;dietro;istante;sg;modifier;succession/iteration/distributivity;
istante dopo istante;8;dopo;istante;sg;modifier;succession/iteration/distributivity;
istante per istante;32;per;istante;sg;modifier;succession/iteration/distributivity;
istituto per istituto;1;per;istituto;sg;modifier;succession/iteration/distributivity;
istruzione dopo istruzione;1;dopo;istruzione;sg;modifier;succession/iteration/distributivity;
istruzione per istruzione;1;per;istruzione;sg;modifier;succession/iteration/distributivity;
Italia su Italia;1;su;Italia;sg;modifier;connection/transition;
km su km;1;su;km;sg;nominal;greater_plurality/accumulation;
labbra contro labbra;3;contro;labbro;pl;modifier;juxtaposition/contact;
labbro con labbro;2;con;labbro;sg;modifier;juxtaposition/contact;
lampada per lampada;3;per;lampada;sg;modifier;succession/iteration/distributivity;
lampo dopo lampo;1;dopo;lampo;sg;modifier;succession/iteration/distributivity;
lancio dopo lancio;1;dopo;lancio;sg;modifier;succession/iteration/distributivity;
lapide per lapide;1;per;lapide;sg;modifier;succession/iteration/distributivity;
lato a lato;1;a;lato;sg;modifier;idiosyncratic;
lato per lato;1;per;lato;sg;modifier;succession/iteration/distributivity;
lavaggio dopo lavaggio;1;dopo;lavaggio;sg;modifier;succession/iteration/distributivity;
lavoro dopo lavoro;1;dopo;lavoro;sg;modifier;succession/iteration/distributivity;
layer su layer;1;su;layer;sg;modifier;succession/iteration/distributivity;
legge per legge;3;per;legge;sg;modifier;succession/iteration/distributivity;
leggi su leggi;1;su;legge;pl;nominal;greater_plurality/accumulation;
leghe su leghe;1;su;lega;pl;nominal;greater_plurality/accumulation;
legni su legni;1;su;legno;pl;nominal;greater_plurality/accumulation;
legno contro legno;1;contro;legno;sg;modifier;juxtaposition/contact;
legno su legno;1;su;legno;sg;modifier;juxtaposition/contact;
lembo dopo lembo;1;dopo;lembo;sg;modifier;succession/iteration/distributivity;
lettera dopo lettera;5;dopo;lettera;sg;modifier;succession/iteration/distributivity;
lettera per lettera;21;per;lettera;sg;modifier;succession/iteration/distributivity;
lettere su lettere;6;su;lettere;pl;nominal;greater_plurality/accumulation;
lettino dopo lettino;1;dopo;lettino;sg;modifier;succession/iteration/distributivity;
letture su letture;1;su;lettura;pl;nominal;greater_plurality/accumulation;
libri su libri;6;su;libro;pl;nominal;greater_plurality/accumulation;
libro dopo libro;3;dopo;libro;sg;modifier;succession/iteration/distributivity;
limoni su limoni;1;su;limone;pl;nominal;greater_plurality/accumulation;
linea per linea;9;per;linea;sg;modifier;succession/iteration/distributivity;
linea per linea;1;per;linea;sg;nominal;succession/iteration/distributivity;
link dopo link;1;dopo;link;sg;modifier;succession/iteration/distributivity;
lira dopo lira;2;dopo;lira;sg;modifier;succession/iteration/distributivity;
lira su lira;1;su;lira;sg;modifier;succession/iteration/distributivity;
lista per lista;1;per;lista;sg;modifier;succession/iteration/distributivity;
liste su liste;1;su;lista;pl;nominal;greater_plurality/accumulation;
livello per livello;1;per;livello;sg;modifier;succession/iteration/distributivity;
lotto per lotto;1;per;lotto;sg;modifier;succession/iteration/distributivity;
lunghezza su lunghezza;1;su;lunghezza;sg;nominal;greater_plurality/accumulation;
luogo dopo luogo;1;dopo;luogo;sg;modifier;succession/iteration/distributivity;
luogo per luogo;5;per;luogo;sg;modifier;succession/iteration/distributivity;
lutto dopo lutto;1;dopo;lutto;sg;modifier;succession/iteration/distributivity;
macchia dopo macchia;1;dopo;macchia;sg;modifier;succession/iteration/distributivity;
maglia per maglia;1;per;maglia;sg;modifier;succession/iteration/distributivity;
maglie su maglie;1;su;maglia;pl;nominal;greater_plurality/accumulation;
malattia per malattia;1;per;malattia;sg;modifier;succession/iteration/distributivity;
manciate su manciate;1;su;manciata;pl;nominal;greater_plurality/accumulation;
manfrina per manfrina;1;per;manfrina;sg;modifier;succession/iteration/distributivity;
manica per manica;1;per;manica;sg;modifier;succession/iteration/distributivity;
manifestazione dopo manifestazione;1;dopo;manifestazione;sg;modifier;succession/iteration/distributivity;
mano a mano;223;a;mano;sg;modifier;idiosyncratic;
mano dopo mano;1;dopo;mano;sg;modifier;succession/iteration/distributivity;
mano per mano;3;per;mano;sg;modifier;succession/iteration/distributivity;
mansione per mansione;1;per;mansione;sg;modifier;succession/iteration/distributivity;
mare per mare;1;per;mare;sg;modifier;succession/iteration/distributivity;
massacri su massacri;1;su;massacro;pl;nominal;greater_plurality/accumulation;
matassina dopo matassina;1;dopo;matassina;sg;modifier;succession/iteration/distributivity;
match dopo match;1;dopo;match;sg;modifier;succession/iteration/distributivity;
materia per materia;1;per;materia;sg;modifier;succession/iteration/distributivity;
materia su materia;1;su;materia;sg;nominal;greater_plurality/accumulation;
mattina dopo mattina;3;dopo;mattina;sg;modifier;succession/iteration/distributivity;
mattino dopo mattino;1;dopo;mattino;sg;modifier;succession/iteration/distributivity;
mattone dopo mattone;6;dopo;mattone;sg;modifier;succession/iteration/distributivity;
mattone per mattone;5;per;mattone;sg;modifier;succession/iteration/distributivity;
mattone su mattone;11;su;mattone;sg;modifier;succession/iteration/distributivity;
Meeting dopo Meeting;1;dopo;meeting;sg;modifier;succession/iteration/distributivity;
melodie su melodie;1;su;melodia;pl;nominal;greater_plurality/accumulation;
memoria su memoria;1;su;memoria;sg;modifier;succession/iteration/distributivity;
mento contro mento;1;contro;mento;sg;modifier;juxtaposition/contact;
meraviglie su meraviglie;1;su;meraviglia;pl;nominal;greater_plurality/accumulation;
mercato dopo mercato;1;dopo;mercato;sg;modifier;succession/iteration/distributivity;
mercato per mercato;1;per;mercato;sg;modifier;succession/iteration/distributivity;
mese dopo mese;52;dopo;mese;sg;modifier;succession/iteration/distributivity;
mese per mese;49;per;mese;sg;modifier;succession/iteration/distributivity;
mese su mese;2;su;mese;sg;modifier;connection/transition;
messaggino dopo messaggino;1;dopo;messaggino;sg;modifier;succession/iteration/distributivity;
metafora dietro metafora;1;dietro;metafora;sg;modifier;succession/iteration/distributivity;
metafora per metafora;1;per;metafora;sg;modifier;succession/iteration/distributivity;
metallo contro metallo;1;contro;metallo;sg;modifier;juxtaposition/contact;
metallo su metallo;1;su;metallo;sg;modifier;juxtaposition/contact;
metri su metri;1;su;metro;pl;nominal;greater_plurality/accumulation;
metro dopo metro;10;dopo;metro;sg;modifier;succession/iteration/distributivity;
metro per metro;27;per;metro;sg;modifier;succession/iteration/distributivity;
metro su metro;1;su;metro;sg;nominal;greater_plurality/accumulation;
miglio dopo miglio;4;dopo;miglio;sg;modifier;succession/iteration/distributivity;
miglio per miglio;1;per;miglio;sg;modifier;succession/iteration/distributivity;
miliardi dopo miliardi;1;dopo;miliardo;pl;modifier;succession/iteration/distributivity;
miliardi su miliardi;5;su;milardi;pl;nominal;greater_plurality/accumulation;
milioni su milioni;2;su;milione;pl;nominal;greater_plurality/accumulation;
millennio dopo millennio;3;dopo;millennio;sg;modifier;succession/iteration/distributivity;
millimetro dopo millimetro;4;dopo;millimetro;sg;modifier;succession/iteration/distributivity;
millimetro per millimetro;7;per;millimetro;sg;modifier;succession/iteration/distributivity;
minchiate su minchiate;1;su;minchiata;pl;nominal;greater_plurality/accumulation;
ministero per ministero;1;per;ministero;sg;modifier;succession/iteration/distributivity;
minuti su minuti;1;su;minuto;pl;nominal;greater_plurality/accumulation;
minuto dietro minuto;1;dietro;minuto;sg;modifier;succession/iteration/distributivity;
minuto dopo minuto;30;dopo;minuto;sg;modifier;succession/iteration/distributivity;
minuto per minuto;101;per;minuto;sg;modifier;succession/iteration/distributivity;
miracolo su miracolo;1;su;miracolo;sg;modifier;succession/iteration/distributivity;
missione dopo missione;2;dopo;missione;sg;modifier;succession/iteration/distributivity;
misteri su misteri;1;su;mistero;pl;nominal;greater_plurality/accumulation;
misura per misura;11;per;misura;sg;modifier;succession/iteration/distributivity;
modello per modello;1;per;modello;sg;modifier;succession/iteration/distributivity;
modifica dopo modifica;1;dopo;modifica;sg;modifier;succession/iteration/distributivity;
moduli su moduli;1;su;modulo;pl;nominal;greater_plurality/accumulation;
molecola dopo molecola;1;dopo;molecola;sg;modifier;succession/iteration/distributivity;
molecola per molecola;5;per;molecola;sg;modifier;succession/iteration/distributivity;
momento dopo momento;6;dopo;momento;sg;modifier;succession/iteration/distributivity;
momento per momento;41;per;momento;sg;modifier;succession/iteration/distributivity;
mondo su mondo;1;su;mondo;sg;modifier;succession/iteration/distributivity;
moneta dopo moneta;2;dopo;moneta;sg;modifier;succession/iteration/distributivity;
moneta per moneta;1;per;moneta;sg;modifier;succession/iteration/distributivity;
monologo su monologo;1;su;monologo;sg;modifier;succession/iteration/distributivity;
monoteismo per monoteismo;1;per;monoteismo;sg;clause;inescapable_presupposition;
montagna dopo montagna;1;dopo;montagna;sg;modifier;succession/iteration/distributivity;
monumento per monumento;1;per;monumento;sg;modifier;succession/iteration/distributivity;
morti su morti;2;su;morto;pl;nominal;greater_plurality/accumulation;
moschea per moschea;1;per;moschea;sg;modifier;succession/iteration/distributivity;
mossa dopo mossa;1;dopo;mossa;sg;modifier;succession/iteration/distributivity;
moto per moto;1;per;moto;sg;modifier;succession/iteration/distributivity;
motore per motore;1;per;motore;sg;modifier;succession/iteration/distributivity;
movimento dopo movimento;1;dopo;movimento;sg;modifier;succession/iteration/distributivity;
mucosa contro mucosa;1;contro;mucosa;sg;modifier;juxtaposition/contact;
municipio per municipio;1;per;municipio;sg;modifier;succession/iteration/distributivity;
mura su mura;1;su;muro;pl;nominal;greater_plurality/accumulation;
muro a muro;2;a;muro;sg;modifier;juxtaposition/contact;
muro contro muro;2;contro;muro;sg;modifier;juxtaposition/contact;
muro contro muro;96;contro;muro;sg;nominal;idiosyncratic;
muro contro muro;12;contro;muro;sg;modifier;idiosyncratic;
muro per muro;2;per;muro;sg;modifier;succession/iteration/distributivity;
muscolo contro muscolo;1;contro;muscolo;sg;modifier;juxtaposition/contact;
muscolo dopo muscolo;1;dopo;muscolo;sg;modifier;succession/iteration/distributivity;
muscolo per muscolo;1;per;muscolo;sg;modifier;succession/iteration/distributivity;
muso a muso;1;a;muso;sg;modifier;juxtaposition/contact;
muso contro muso;6;contro;muso;sg;modifier;juxtaposition/contact;
mutamenti su mutamenti;1;su;mutamento;pl;nominal;greater_plurality/accumulation;
naso a naso;1;a;naso;sg;modifier;juxtaposition/contact;
naso contro naso;9;contro;naso;sg;modifier;juxtaposition/contact;
nazionalità per nazionalità;1;per;nazionalità;sg;modifier;succession/iteration/distributivity;
nazione dopo nazione;1;dopo;nazione;sg;modifier;succession/iteration/distributivity;
nazione per nazione;2;per;nazione;sg;modifier;succession/iteration/distributivity;
neurone dopo neurone;2;dopo;neurone;sg;modifier;succession/iteration/distributivity;
neurone per neurone;1;per;neurone;sg;modifier;succession/iteration/distributivity;
niente di niente;184;di;niente;sg;modifier;intensification;
nocca dopo nocca;1;dopo;nocca;sg;modifier;succession/iteration/distributivity;
nodi su nodi;2;su;nodo;pl;nominal;greater_plurality/accumulation;
nome dopo nome;1;dopo;nome;sg;modifier;succession/iteration/distributivity;
nome per nome;8;per;nome;sg;modifier;succession/iteration/distributivity;
nomi su nomi;4;su;nome;pl;nominal;greater_plurality/accumulation;
nomina dopo nomina;1;dopo;nomina;sg;modifier;succession/iteration/distributivity;
nominativo per nominativo;1;per;nominativo;sg;modifier;succession/iteration/distributivity;
norma su norma;1;su;norma;sg;modifier;succession/iteration/distributivity;
norme su norme;1;su;norma;pl;nominal;greater_plurality/accumulation;
nota contro nota;1;contro;nota;sg;modifier;juxtaposition/contact;
nota dopo nota;2;dopo;nota;sg;modifier;succession/iteration/distributivity;
nota per nota;1;per;nota;sg;modifier;succession/iteration/distributivity;
notizia dopo notizia;2;dopo;notizia;sg;modifier;succession/iteration/distributivity;
nottata dietro nottata;1;dietro;nottata;sg;modifier;succession/iteration/distributivity;
notte dietro notte;2;dietro;notte;sg;modifier;succession/iteration/distributivity;
notte dopo notte;46;dopo;notte;sg;modifier;succession/iteration/distributivity;
notte per notte;2;per;notte;sg;modifier;succession/iteration/distributivity;
notti su notti;1;su;notte;pl;nominal;greater_plurality/accumulation;
novità su novità;1;su;novità;sg/pl;clause;inescapable_presupposition;
novità su novità;1;su;novità;sg/pl;nominal;greater_plurality/accumulation;
nucleotide per nucleotide;1;per;nucleotide;sg;modifier;succession/iteration/distributivity;
nulla di nulla;32;di;nulla;sg;nominal;intensification;
numeri su numeri;1;su;numero;pl;nominal;greater_plurality/accumulation;
numero dopo numero;4;dopo;numero;sg;modifier;succession/iteration/distributivity;
numero per numero;5;per;numero;sg;modifier;succession/iteration/distributivity;
numero su numero;1;su;numero;sg;modifier;succession/iteration/distributivity;
obiezioni su obiezioni;1;su;obiezione;pl;nominal;greater_plurality/accumulation;
oblò dopo oblò;1;dopo;oblò;sg;modifier;succession/iteration/distributivity;
obolo su obolo;1;su;obolo;sg;modifier;succession/iteration/distributivity;
occasioni su occasioni;1;su;occasione;pl;nominal;greater_plurality/accumulation;
occhi per occhi;1;per;occhio;pl;modifier;succession/iteration/distributivity;
occhio per occhio;43;per;occhio;sg;modifier;idiosyncratic;
oceano dopo oceano;1;dopo;oceano;sg;modifier;succession/iteration/distributivity;
odio su odio;3;su;odio;sg;nominal;greater_plurality/accumulation;
offesa su offesa;1;su;offesa;sg;modifier;succession/iteration/distributivity;
oggetto per oggetto;1;per;oggetto;sg;modifier;succession/iteration/distributivity;
ombelico su ombelico;1;su;ombelico;sg;modifier;juxtaposition/contact;
ombre su ombre;1;su;ombre;pl;nominal;greater_plurality/accumulation;
omicidi su omicidi;1;su;omicidio;pl;nominal;greater_plurality/accumulation;
onda a onda;1;a;onda;sg;modifier;succession/iteration/distributivity;
onda contro onda;1;contro;onda;sg;modifier;juxtaposition/contact;
onda dietro onda;1;dietro;onda;sg;modifier;succession/iteration/distributivity;
onda dopo onda;6;dopo;onda;sg;modifier;succession/iteration/distributivity;
onda su onda;4;su;onda;sg;modifier;succession/iteration/distributivity;
ondata dopo ondata;1;dopo;ondata;sg;modifier;succession/iteration/distributivity;
opera dopo opera;2;dopo;opera;sg;modifier;succession/iteration/distributivity;
opera per opera;2;per;opera;sg;modifier;succession/iteration/distributivity;
operatore per operatore;1;per;operatore;sg;modifier;succession/iteration/distributivity;
operazione per operazione;4;per;operazione;sg;modifier;succession/iteration/distributivity;
operazioni su operazioni;1;su;operazione;pl;nominal;greater_plurality/accumulation;
opere su opere;1;su;opera;pl;nominal;greater_plurality/accumulation;
