ID;NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;meaning;syntactic_function
;faccia a faccia;juxtaposition/contact;a;faccia;Ma un uomo ha paura quando si trova;faccia a faccia;con se stesso.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Chi visita quel tempio si trova;faccia a faccia;con la storia della Nazione.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;51) Tex si trova;faccia a faccia;con l'ambizioso e cinico colonnello Elbert, nemico giurato degli indiani.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Tex si trova;faccia a faccia;con Middleton nei pressi dell'accampamento militare.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Arrivati nel negozio o in filiale per l'ultimo passaggio, un totem con cui mettersi in coda e prendere il numero diventa uno schermo intelligente dove specificare la propria identità, ad esempio con un codice a barre (QRCode) ricevuto in precedenza, e avvertire quindi automaticamente l'operatore in ufficio di chi è arrivato, per cosa e ache punto della pratica, così da rendere l'esperienza;faccia a faccia;più efficiente e proficua per tutti.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Nella capitale belga è arrivato mercoledì notte, l'attesa per un incontro con Follini e Casini, anche loro ai lavori del Ppe, va delusa, la giornata trascorre senza;faccia a faccia;, senza passi avanti sul confronto interno alla maggioranza, con un sostanziale ridimensionamento delle esigenze avanzate da Fini e Follini.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Un medico (adifferenzadi un politico o di un attore) è giudicato solo dai propri pazienti e dai colleghi più vicini, quindi fra quattro mura e;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Di nuovo c'è proprio il fatto che per la prima volta Rifondazione comunista si sia seduta attornoa un tavolo con tutte le altre forze che sostengono il Governo e non in un più semplice;faccia a faccia;con il presidente del Consiglio.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Questi sviluppi riguardano non soltanto come la gente lavora, ma anche dove lavora, quanto lavora, e con chi interagisce,;faccia a faccia;o elettronicamente.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Antonio Di Pietro ed Emilio Fede;faccia a faccia;per una querela, del primo contro il secondo, raggiungono vette d'ineguagliabile spettacolarità.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Una specie di paura, reale come la paura che aveva provato sulla scogliera nell'Artide,;faccia a faccia;con l'orso polare.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Quella fredda notte in Crimea ci vide;faccia a faccia;dietroalle nostre spade.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Operazione delicata che metterebbe gli israeliani a diretto contatto con i consiglieri militari iraniani (alcuni dei quali sarebbero già stati uccisi in combattimento nel Libano del sud) e;faccia a faccia;con i siriani che dalle basi lungo il confine libanese continuano a rifornire Hezbollah di armi e munizioni.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Lo udii descrivere anni dopo, come apparve nel concistoro del dicembre 1334, più piccolo di quanto fosse mai apparso sinoad allora, rinsecchito dall'età, novantenne e moribondo, pallido in viso, e avrebbe detto (la volpe, così abile nel giocare sulle parole non solo per violare i propri giuramenti ma anche per rinnegare le proprie ostinazioni):""Noi confessiamo e crediamo che le anime separate dal corpo e completamente purificate siano in cielo, in paradiso con gli angeli, e con Gesù Cristo, e che esse vedano Dio nella sua divina essenza, chiaramente e";faccia a faccia;"...""e poi con una pausa, nessuno seppe mai se dovuta alla difficoltà del respiro o alla volontà perversa di sottolineare l'ultima clausola come avversativa,""nellamisuraincui lo stato e la condizione dell'anima separata lo permetta.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;L'unico che, secondo la Torah, parlava esplicitamente e;faccia a faccia;con Dio era Mosè.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;E;faccia a faccia;sarà, dunque, nel pomeriggio (sera italiana) di giovedì.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;I poliziotti gallesi non incontrarono mai i fuorilegge;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ma videmus nunc per speculum et in aenigmate e la verità, primache;faccia a faccia;, si manifesta a tratti (ahi, quanto illeggibili) nell'errore del mondo, cosìche dobbiamo compitarne i fedeli segnacoli, anche là dove ci appaiono oscuri e quasi intessuti di una volontà del tutto intesa al male.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Tranne la signora Manresa che,;faccia a faccia;"con uno specchio, lo usò come uno specchio; tirò fuori il suo specchietto, s'incipriò il naso e mise a posto un ricciolo che la brezza aveva scompigliato.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"La rete ha invece creato l'illusione che tutte queste fatiche non fossero necessarie e che i meccanismi ""cattivi"" che sovente rovinano le comunità reali (leaderismi, giochi di potere, arroganze, settarismi), svanissero come per incanto quando le persone dialogavano on line anziché";faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Potremmo paragonare Internet a una lussuosa nave da crociera, sulla quale nulla può venirci a mancare: dalla cura del corpo attraverso i massaggi, alla cura dello spirito attraverso le letture consigliate; dagli incontri ""schermo a schermo"", anziché";faccia a faccia;", allo shopping; dai musei ai tramonti sui tropici.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;La metafora Ma anche Walter Veltroni è molto diretto: «Gliel'ho detto anche;faccia a faccia;, gli consiglio di cambiare passo, serve una nuova stagione».;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Ã¢""Â Pensavo che";faccia a faccia;"sarei riuscito a convincerlo.Ã¢""Â Ã¢""Â E invece?";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Una volta morti o giustiziati gli oppositori, l'intero esercito al momento di entrare in India si rifiutava di prosternarsi o di inginocchiarsi dinanzial re e conservava le antiche forme di saluto, l'attenti, il""presentat'arm"", la libertà di parola, in piedi e";faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;) diventa realtà: dopo anni di proteste, dibattiti e;faccia a faccia;con i dirigenti comunali buona parte dei negozianti del centro hanno deciso: spegneranno le loro insegne e scenderanno in piazza anche ogni settimana se è necessario, acominciaredalla prossima settimana contro quella rivoluzione alla viabilità che giudicano un killer per registratori di cassa.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ma una delle cose che mantiene (ancora) forti le amicizie;faccia a faccia;è la natura dell'esperienza condivisa: ridere insieme, ballare insieme, rimanere a bocca aperta davantia un tramonto.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Questa morte mi offende come ha offeso lui perché ha privato entrambi di uno scontro leale,;faccia a faccia;, che lasciasse un vincitore e un vinto e rendesse onore in ogni caso allo sfortunato valore del perdente.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;In contrasto con l'istruzione di tipo tradizionale, che è sostanzialmente orale e basata sul gruppo, l'istruzione a distanza interrompe la comunicazione interpersonale;faccia a faccia;e articola il gruppo dei discenti sul territorio.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Nonostante un'innegabile ingenuità di fondo Gioventù bruciata ebbe il pregio di mostrare senza ipocrisie le lacerazioni insenoalla famiglia, istituzione borghese per eccellenza e forma organizzativa di base intornoa cui ruotava la società americana (tanto più negli anni Cinquanta, quando l'intera civiltà occidentale -;faccia a faccia;"con la ""grande minaccia rossa"" - si arroccava sui propri valori fondanti e sulle proprie tradizioni).";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Blair e Jospin hanno avuto un breve, quanto inutile,;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Tale modalità non ha avuto successo nella pratica, acausadella non idoneità delle comunicazioni a distanza a sostituire del tutto quelle;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Cuba era lÃ - perché voleva parlarle;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Sulla scia del sacrificio di Cristo, anche il poeta pellegrino deve rivolgersi ad un tipo di tattica offensiva del tutto inusitata: attraversare il dominio del nemico, condividere per l'arco di un giorno i tormenti dei trapassati, per trovarsi infine;faccia a faccia;con il signore degli abissi tellurici, difronteagli orrori della sua eterna masticazione.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Strappa'sti biglietti, m'intimò,""se vedo quel minchione";faccia a faccia;"gli tiro una scarpa in testa"".";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Nessuno vieta di continuare l'abitudine della riunione settimanale, magari in giorni diversi per evitare le congestioni del traffico: posso concordare con lei che la videoconferenza, così come si può svolgere ora, non è la stessa cosa della riunione;faccia a faccia;e comunque è ancora troppo costosa.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Per gli uomini, la visione;faccia a faccia;è riservata alla beatitudine del cielo.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Poi capì che quello non era il solo: uno dei sacerdoti ""toccava"" durante la confessione";faccia a faccia;, la domenica sera poi, i ragazzi ascoltavano in capannello i racconti dei più grandi, reduci dall'uscita pomeridiana: anziché vedersi il film, sgattaiolavano dal cinema e andavano a puttane.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Il quale, per esempio, dava per scontato che la democrazia diretta dovesse basarsi su una discussione;faccia a faccia;tra cittadini tutti fisicamente presenti all'assemblea e tutti impegnati a confrontarsi su problemi locali, e quindi ben noti.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Aseguitodi una maggiore mobilità e degli sviluppi nei mezzi di comunicazione a distanza, la comunicazione;faccia a faccia;sta diventando meno comune e la comunicazione online ne sta pian piano prendendo il posto.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Il collettivo prevaleva sull'individuo, il localismo sull'universalismo e la comunicazione;faccia a faccia;ed uno scopo condiviso da tutti tracciavano i confini (anche normativi) per la vita sociale.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Nel 1983 il professor Sewart, dell'Università aperta del Regno Unito, scriveva: «Gli ultimi dieci anni sono stati testimoni di un'eccezionale crescita nel campo dell'istruzione a distanza e dell'integrazione di questo metodo nell'offerta standardizzata dell'educativo a un livello tale che non è più possibile pensare unicamente in termini tradizionali di comunicazione;faccia a faccia;».;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;In qualche caso può essere utile una spiegazione;faccia a faccia;o può essere lo stesso cliente a preferire un confronto di persona (non siamo tutti uguali!;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ci si può limitare a sottolineare che l'assimilazione di una performance comica a una forma particolare della relazione;faccia a faccia;, piuttosto che a una forma di rappresentazione nettamente incorniciata, consente di addentrarsi tra l'altro nei processi d'improvvisazione che sono sempre, costitutivamente, processi interazionali che si avvalgono dell'apporto reattivo del contesto spettacolare.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;«Senza l'interazione;faccia a faccia;si perde molto della relazione», spiega ad Airone lo stesso Aime.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Durata dell'uso dello schermo: è importante assicurarsi che l'uso di Internet non si sovrapponga all'interazione;faccia a faccia;con la famiglia, gli amici e l'attività fisica.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Per esempio cambia la stessa dinamica dell'interazione;faccia a faccia;tra Tizio e Caio, che non è più un rapporto a due, perché il colloquio può essere interrotto da un'inserzione cellulare di Sempronio, e tra Tizio e Caio l'interazione si sviluppa soltanto a singhiozzo, o si blocca.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Effettivamente, dalle nostre indagini sui lavoratori attivi nel campo dell'informazione, risulta che essi puntualmente giudicano l'interazione;faccia a faccia;nettamente indesiderabile per molte delle loro attività lavorative.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"In cui le modalità ipertestuali e ipermediali rivelano ciò che si produce incambiodi testi instabili, deboli, effimeri come la voce; di forme di comunicazione sempre più vicine alla conversazione";faccia a faccia;", ai rituali della tribù, ai travestimenti dello sciamano; di identità singolari e non più collettive, di mondi asincroni e non più contemporanei, di diversità radicali e non più mediate da poteri centrali o verticali.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Non dimenticare l'impatto positivo che puoi avere mettendo giù lo smartphone - che sia riporlo in tasca o semplicemente spegnerlo - e avere una vera conversazione;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;La gente ha paura di chi ci pone;faccia a faccia;con la Legge.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Il Comitato:""Familiari potranno viaggiare vicini""La lunga sessione del Comitato tecnico scientifico di ieri, a cui ha partecipato la ministra dei Trasporti Paola De Micheli, ha ribadito il concetto: è fortemente consigliabile non vendere ticket per poltrone""";faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;» «Perché dovremmo discuterne;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Con un'instenza diventata eccessiva: sul posto di lavoro e fuoridai cancelli, al telefono e;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Con la convinzione che si può giocare;faccia a faccia;contro chicchessia.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"E anche se la qualità delle immagini potrebbe non essere elevatissima, la possibilità di tornare a dialogare """;faccia a faccia; con colleghi e superiori promette di eliminare molti dei problemi di isolamento dei teleworker.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Se scambiarsi messaggi in posta elettronica oppure chattare con un'altra persona non è la stessa cosa che dialogare;faccia a faccia;, credo sia proprio questo l'aspetto più interessante.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;» Riattaccai chiedendomi perché Myron volesse parlare;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;La fotocamera FaceTime ti permette di parlare;faccia a faccia;"; passa alla fotocamera iSight posteriore per condividere ciò che vedi interno a te.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Coloro che cercano aiuto, perciò, devono districarsi fra varie possibilità scegliendo, spesso alla cieca, se per loro è meglio parlare;faccia a faccia;dei propri problemi per un numero limitato di sedute o sdraiarsi su un lettino a fare libere associazioni più volte alla settimana per diversi anni, oppure prendere farmaci o imparare tecniche comportamentali o cognitive per cambiare il proprio modo di pensare, di sentire o di agire, o ancora frequentare un corso o un seminario per studiare qualche aspetto particolarmente importante della propria personalità.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ero bloccato, e poi ho pensato che sarebbe stato meglio parlare;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Ti ho chiamata io, Anna: non puoi interrompere la comunicazione...""Anna è in camera, si lancia verso il cassettone dietro il quale ha nascosto la pistola...""... e d'altronde credo che non abbia più senso continuare a parlare sottovoce e...""... posa telefono e affilacoltelli sul ripiano del cassettone, e infila le mani tra il mobile e la parete...""... per telefono, orache possiamo parlare";faccia a faccia;, no?;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Decidamente positivo secondo Tim il bilancio del concorso, che ha portato il vertice aziendale ad incontrare;faccia a faccia;migliaia di studenti, per raccoglierne le impressioni, rispondere alle loro domande, ma soprattutto per ascoltare le nuove idee.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Per un avvocato non era facile fare visita a un cliente nel penitenziario; lo era ancora di meno se era relegato nell'Unità Z, e incontrare";faccia a faccia;un detenuto della Range 13 era pressoché impossibile.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Il Cristianesimo - il quale viene pure criticato in nome della vita, che esso reprimerebbe - rivela invece una forza originaria, capace di affrontare;faccia a faccia;la selvaggia demonicità della vita e della morte, dell'effimero e dell'eterno che lo annienta.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Risultò inutile cercare di tirarle fuori qualche parola e finirono per restare;faccia a faccia;senza guardarsi, come estranee in una sala d'aspetto.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Quei giovani erano diventati Â giovanissimi Â capi carismatici, adorati dai seguaci di ambo i sessi, che potevano trattare;faccia a faccia;(e magari a pesci in faccia) coi Grandi Vecchi dell'epoca.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Tutti si facevano da parte e lasciavano l'attaccante e il portiere;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Per l'esame finale, che lo studente deve sostenere;faccia a faccia;", sono a disposizione le cento sedi italiane dell'Anfe"".";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Soloche, proprio mentre uscivamo dall'immenso portone, forse per l'emozione e il maldestro nervosismo tipico di chi ha appena trovato una miniera d'oro, mi distrassi e andai a sbattere;faccia a faccia;con la persona che in quello stesso istante stava entrando.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Le spiattellerà al leader di Rifondazione al vertice decisivo del prossimo 3 settembre: Per adesso la sua linea mi sembra la solita: dichiarazioni pubbliche molto dure, poi si tratta di mettersi a tavolino, a discutere;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ora era preoccupato: discutere;faccia a faccia;di politica estera con Ed Kealty sarebbe stata una grossa sfida per il suo autocontrollo.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Calcolatori per progettare un palazzo o un aeroplano senza mai prendere in mano una matita, per discutere;faccia a faccia;con il socio in Australia e con quello a New York contemporaneamente e senza muoversi dalla scrivania.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;A quei tempi era capace di fronteggiare da solo i tifosi scatenati che ci assalivano, di salire sulle gradinate per discutere;faccia a faccia;con quelli che lo insultavano.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Anchese nessuna realtà è più certa della vecchiaia e della morte che ci attendono al termine del nostro cammino, l'animo umano, per sua natura, è incapace di vivere;faccia a faccia;con simili verità.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ma cosa vuole: dovrei essere capace di fare ciò che non riesce alla maggior parte degli uomini - vivere;faccia a faccia;con la realtà senza autoinganni?;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"07 02 1997 A Bonn colloquio""positivo e rassicurante""sull'ingresso dell'Italia nell'Unione Monetaria Kohl - D'Alema, due ore";faccia a faccia;"Bruciatoa sorpresa il premier:""Ma l'avevo avvertito""BONN DAL NOSTRO INVIATO""Signor Cancelliere..."".";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Mangiano - fatto non proprio consueto - a palazzo Koch: due ore;faccia a faccia;, da soli.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Non da tutti: numerosi primati, e soprattutto i bonobos (parenti dei gorilla) usano baciarsi amorosamente sulla bocca e fare l'amore;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;- San Francesco potrebbe essere da qualche parte in attesa del giudizio, senza vedere il Signore;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Deve proporli inmododa mettere il lettore «;faccia a faccia;col fatto nudo e schietto», senza che questi, in nessun modo, possa avere mai l'impressione di riconoscere la realtà «attraverso la lente dello scrittore».;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;In questo senso, vale anche per le madri migranti l'osservazione per cui, date le barriere che impediscono di fornire cure;faccia a faccia;, le rimesse incorporano un'espressione di cura che conferisce senso all'emigrazione [ Aranda 2003, 621 ].;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;555 [ 2576 ] Ora,   il Signore parlava con Mosè;faccia a faccia;, come un uomo parla con un altro > > (Es 33,11), con un suo amico.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Una giornata che tra telefonate,;faccia a faccia;"e riunioni larghissime lo ha visto costruire una candidatura che - dice a cose fatte - può diventare""un successo per il nostro paese e per le istituzioni"".";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Il procuratore di Tortona Aldo Cuva li aveva definiti così, subito dopo i primi interrogatori, le prime ore passate;faccia a faccia;con quei ragazzi accusati di omicidio volontario.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Alla fine vi ritrovate;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Quindi, dicevo, quando abbiamo raggiunto il pianoterra e aperto la porta dell'ascensore, ci siamo trovate;faccia a faccia;"con Sancho Maria e Melchor che, impassibili nemmeno reggessero uno scettro e una corona, avevano tra le mani uno una vaschetta maleodorante di soia e ali di pollo e l'altro una di patatine fritte annegate nel ketchup, e Hada stava per sibilargli finoin fondo""Ladr... gilipo... Â e lui""Vieja put... Â a lei quando entrambi si sono arrestati di colpo nel loro minuetto di contumelie, lei rendendosi conto dall'espressione di lui che non era sola e lui che dietrodi lei c'era una signora, forse una vedova in gramaglie tanto teneva gli occhi bassi dalle ciglia così lucenti che dovevano sembrare bagnate da un pianto recente e la mantilla in pizzo nero trattenuta su quasi tutto il viso a coprire un dolore inesprimibile, forse anche emorroidale da come incedette verso il portone, e decisero all'unisono che non era il caso, che per quella volta non se ne sarebbero dette di ogni.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"È stato messo in rilievo come Havel venisse da un anno in cui, come lui stesso ha ricordato, si è trovato""due volte";faccia a faccia;"con la morte"".";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;18 03 1997 Craxi Bettino DOPING - Di Terlizzi di nuovo ascoltataPesante;faccia a faccia;"ieri alla Procura antidoping tra la Di Terlizzi e il medico del prelievo""manomesso"", Santelli.";sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Enrico, nonostante i suoi impacci abituali, fu pronto a cogliere il momento in cui lo spostamento inconsueto si verificava, si volse anche lui versodi lei e così si trovò per un istante;faccia a faccia;con la fanciullina... e ne rimase folgorato.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Alessio Corti, giovane organista milanese, scandisce questa sera (con due monumenti bachiani e una Passacaglia di Buxtehude) un avvincente""";faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Il secondo è la titubanza dell'ex Cavaliere difrontealle modifiche all'Italicum propostegli da Renzi nell'ultimo e deludente;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Il secondo è la titubanza dell'ex Cavaliere difrontealle modifiche all'Italicum propostegli da Renzi nell'ultimo e deludente;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Secondo la teoria della compensazione sociale, i media possono essere particolarmente utili per gli individui ritirati che possono provare ansia nell'interazione con gli altri in un ambiente;faccia a faccia;(Sheldon, 2008).;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;O tutti o nessuno: quindi niente;faccia a faccia;con Pierluigi Borghini del Polo per Rutelli, nè con Novi per Bassolino.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Per il momento, niente;faccia a faccia;.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Come quello che deve aver fatto in cucina trovandosi inaspettatamente;faccia a faccia;con El Inglés o con il Sebastián de Morra del Velázquez, nemmeno fossero crudeli caricature intollerabili al suo amor proprio, tanto da strappare all'istante il calendario e correre giù a sbarazzarsene nel cassonetto, lui, che non ha mai portato giù una sola volta i sacchetti della differenziata.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Al mattino del terzo giorno la femmina, rigonfia di uova mature, incomincia a estroflettere l'ovopositore, il maschio la fronteggia e i due salgono lentamente;faccia a faccia;verso la superficie.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;non avrebbe mai raggiunto da sé, che non avrebbe nemmeno avuto il coraggio di perseguire e che tra l'altro, da parte loro, le autorità avrebbero difficilmente concesso, e cioè andare incontroad esse findall'inizio con naturalezza, apertamente,;faccia a faccia;, ovviamente quel tantoche era possibile.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;L'Apostolo tuttavia aggiunge che, nella vita futura, Dio sarà conosciuto perfettamente, «;faccia a faccia;».;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Ancelotti se la vede finalmente;faccia a faccia;con Scala di cui prese il posto e da cui poteva essere sostituito mesi fa.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;"Chi è interessato alla storia inglese, visitando la galleria non potrà che convenire con quanto ha scritto Helene Hanff (autrice di""84 Charing Cross Road"", se noleggiate la cassetta del film tratto dal libro vi divertirete poi a non riconoscere la famosa libreria una volta arrivati a Londra) nel suo meno famoso ma ugualmente godibile""The Duchess of Bloomsbury Street"": si ha l'impressione di trovarsi finalmente";faccia a faccia;con degli amici di lunga data di cui non conoscevamo il volto, e la sopresa di scoprire che hanno esattamente l'aspetto che ci aspettavamo avessero: Carlo Secondo da vecchio sporcaccione e Maria Stuarda da strega, per citare solo due degli esempi possibili.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;Quando ci trovammo finalmente;faccia a faccia;, non mi venne in mente nulla da dire.;sg;juxtaposition/contact;modifier
;faccia a faccia;juxtaposition/contact;a;faccia;La poetica del regista ci lascia liberi di evocare e, se il latte è segno di Grazia, la bottiglia è un po 'simbolo della propria vita vuota che Tomek vorrebbe che gli fosse consegnata personalmente,;faccia a faccia;":""non ha messo fuori la bottiglia"", dice timidamente il ragazzo.";sg;juxtaposition/contact;modifier
